Type	Name	Text	Types/Property	Attribute	Level	ATK	DEF	Passcode	Number	Rarity
Monster	Tri-Horned Dragon	An unworthy dragon with three sharp horns sprouting from its head.	Dragon/Normal	Dark	8	2850	2350	39111158	LOB-EN000	Secret Rare
Monster	Blue-Eyes White Dragon	This legendary dragon is a powerful engine of destruction. Virtually invincible, very few have faced this awesome creature and lived to tell the tale.	Dragon/Normal	Light	8	3000	2500	89631139	LOB-EN001	Ultra Rare
Monster	Hitotsu-Me Giant	Capable of firing cannonballs from its mouth for long-range attacks, this creature is particularly effective in mountain battles.	Beast-Warrior/Normal	Earth	4	1200	100	76184692	LOB-EN002	Common
Monster	Flame Swordsman	"Flame Manipulator" + "Masaki the Legendary Swordsman"	Warrior/Fusion	Fire	5	1800	1600	45231177	LOB-EN003	Super Rare
Monster	Skull Servant	A skeletal ghost that isn't strong but can mean trouble in large numbers.	Zombie/Normal	Dark	1	300	200	32274490	LOB-EN004	Common
Monster	Dark Magician	The ultimate wizard in terms of attack and defense.	Spellcaster/Normal	Dark	7	2500	2100	46986414	LOB-EN005	Ultra Rare
Monster	Gaia The Fierce Knight	A knight whose horse travels faster than the wind. His battle-charge is a force to be reckoned with.	Warrior/Normal	Earth	7	2300	2100	6368038	LOB-EN006	Ultra Rare
Monster	Celtic Guardian	An elf who learned to wield a sword, he baffles enemies with lightning-swift attacks.	Warrior/Normal	Earth	4	1400	1200	91152256	LOB-EN007	Super Rare
Monster	Basic Insect	Usually found traveling in swarms, this creature's ideal environment is the forest.	Insect/Normal	Earth	2	500	700	89091579	LOB-EN008	Common
Monster	Mammoth Graveyard	A mammoth that protects the graves of its pack and is absolutely merciless when facing grave-robbers.	Dinosaur/Normal	Earth	3	1200	800	40374923	LOB-EN009	Common
Monster	Silver Fang	A snow wolf that's beautiful to the eye, but absolutely vicious in battle.	Beast/Normal	Earth	3	1200	800	90357090	LOB-EN010	Common
Monster	Dark Gray	Entirely gray, this beast has rarely been seen by mortal eyes.	Beast/Normal	Earth	3	800	900	9159938	LOB-EN011	Common
Monster	Trial of Nightmare	This fiend passes judgment on enemies that are locked in coffins.	Fiend/Normal	Dark	4	1300	900	77827521	LOB-EN012	Common
Monster	Nemuriko	A child-like creature that controls a sleep fiend to beckon enemies into eternal slumber.	Spellcaster/Normal	Dark	3	800	700	90963488	LOB-EN013	Common
Monster	The 13th Grave	A zombie that suddenly appeared from plot #13 - an empty grave.	Zombie/Normal	Dark	3	1200	900	32864	LOB-EN014	Common
Monster	Charubin the Fire Knight	"Monster Egg" + "Hinotama Soul"	Pyro/Fusion	Fire	3	1100	800	37421579	LOB-EN015	Rare
Monster	Flame Manipulator	This Spellcaster attacks enemies with fire-related spells such as "Sea of Flames" and "Wall of Fire".	Spellcaster/Normal	Fire	3	900	1000	34460851	LOB-EN016	Common
Monster	Monster Egg	A warrior hidden within an egg that attacks enemies by flinging eggshells.	Warrior/Normal	Earth	3	600	900	36121917	LOB-EN017	Common
Monster	Firegrass	A fire-breathing plant found growing near volcanoes.	Plant/Normal	Earth	2	700	600	53293545	LOB-EN018	Common
